t, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70, x71, y71, x72, y72, x73, y73, x74, y74, x75, y75, x76, y76, x77, y77, x78, y78, x79, y79, x80, y80, x81, y81, x82, y82, x83, y83, x84, y84, x85, y85, x86, y86, x87, y87, x88, y88, x89, y89, x90, y90, x91, y91, x92, y92, x93, y93, x94, y94, x95, y95, x96, y96, x97, y97, x98, y98, x99, y99, x100, y100, x101, y101, x102, y102, x103, y103, x104, y104, x105, y105, x106, y106, x107, y107, x108, y108, x109, y109, x110, y110, x111, y111, x112, y112, x113, y113, x114, y114, x115, y115, x116, y116, x117, y117, x118, y118, x119, y119, x120, y120, x121, y121, x122, y122, x123, y123, x124, y124, x125, y125, x126, y126, x127, y127, x128, y128, x129, y129, x130, y130, x131, y131, x132, y132, x133, y133, x134, y134, x135, y135, x136, y136, x137, y137, x138, y138, x139, y139, x140, y140, x141, y141, x142, y142, x143, y143, x144, y144, x145, y145, x146, y146, x147, y147, x148, y148, x149, y149, x150, y150, x151, y151, x152, y152, x153, y153, x154, y154, x155, y155, x156, y156, x157, y157, x158, y158, x159, y159, x160, y160, x161, y161, x162, y162, x163, y163, x164, y164, x165, y165, x166, y166, x167, y167, x168, y168, x169, y169, x170, y170, x171, y171, x172, y172, x173, y173, x174, y174, x175, y175, x176, y176, x177, y177, x178, y178, x179, y179, x180, y180, x181, y181, x182, y182, x183, y183, x184, y184, x185, y185, x186, y186, x187, y187, x188, y188, x189, y189, x190, y190, x191, y191, x192, y192, x193, y193, x194, y194, x195, y195, x196, y196, x197, y197, x198, y198, x199, y199, x200, y200, x201, y201, x202, y202, x203, y203, x204, y204, x205, y205, x206, y206, x207, y207, x208, y208, x209, y209, x210, y210, x211, y211, x212, y212, x213, y213, x214, y214, x215, y215, x216, y216, x217, y217, x218, y218, x219, y219, x220, y220, x221, y221, x222, y222, 
1, 28.539318, -2.167995, 18.918894, 0.462175, 21.116466, -3.092831, 14.522250, 4.056769, 25.102351, -1.306254, -14.149578, 0.240269, -0.169617, -4.957149, -13.324919, -4.584970, -9.266539, 4.852518, -4.206164, 0.341339, -10.787408, -1.893321, 26.251291, -2.103019, 2.865824, 0.784434, 8.974610, -3.357132, -7.543489, -4.916941, 13.880700, 1.978730, 29.383404, 4.543851, -15.507446, 4.672246, 16.056511, -2.882669, -13.573162, 2.309149, 16.608265, -0.533718, -19.164762, -0.294965, 20.169606, 1.145023, -2.190346, 4.155696, -4.890494, -3.691725, -16.283265, -4.875111, 23.010383, -2.589339, 7.674333, 1.536175, 29.149992, 0.640605, 21.140799, -4.469259, -0.015329, -1.372096, 19.683936, 3.756437, 0.194607, -3.899991, -14.095637, -3.437353, -12.789572, -1.550106, 9.298768, -3.208990, 20.015756, -4.433072, -19.354235, 2.109727, -13.362930, -1.188978, -7.425203, -0.384209, -8.400588, 0.106002, 21.295446, 1.694646, 4.689975, 3.799671, 4.780291, -2.177060, 5.196974, -0.467843, 26.664759, 3.379810, 7.702009, 0.637307, -2.114573, 1.343887, 9.461311, -0.711038, -9.032043, -3.366777, 28.184142, -3.182714, -18.477755, 0.002206, 5.624494, 2.774978, 1.563585, -0.280322, -6.150070, 2.057430, 24.818651, -4.770130, -13.868911, -3.358491, 19.610515, 0.447060, 3.720791, 3.150754, 14.153705, -3.624435, 21.546254, -2.388012, 27.856188, 3.654468, -14.773466, -3.566069, -17.535284, 0.517499, -11.054680, -2.608163, -12.316783, 4.999784, 23.541782, 1.098003, 7.207009, -2.563116, -6.811638, -2.669826, 8.338896, 3.627626, -14.132618, 1.660515, 25.642463, -3.110674, -5.799594, -0.923847, 1.459722, 4.393840, 2.458428, 1.974417, -15.902956, 5.139114, -11.153308, 1.478936, 21.541634, 3.040262, -6.968857, -0.428388, 25.130710, -4.706395, 13.281224, 4.813293, -6.465870, -4.979673, -7.604537, 2.865069, 13.885460, -3.540515, 27.345916, -4.541761, 17.094726, 2.303647, 4.408480, -2.248225, -2.041128, -2.974284, -4.804648, 1.830118, -13.034849, 3.612363, 14.711697, -3.268686, 5.001003, 3.197842, -8.628946, 2.837022, 23.384729, -1.302304, 7.811856, -0.745583, 26.734343, -0.805535, 28.855601, -1.976932, 3.662694, -1.707677, -12.768384, 0.828821, 19.680500, -2.798660, 22.353680, -2.274172, 11.051404, -2.831592, -10.195340, -4.479568, -16.433482, 3.785866, 16.811280, -3.841496, 1.654372, 2.193200, 14.415259, 4.821073, -10.405840, 2.997160, -6.481655, -4.740177, 24.042588, 1.683616, 1.154883, 0.095076, -3.339036, -0.881103, -12.589889, 0.229658, -4.850350, -1.990205, 4.774009, 4.372576, -6.712247, 1.816633, -10.439688, -2.751236, 29.446121, 1.626241, -3.054428, 3.119010, 7.788316, 2.819956, -8.571837, 4.832325, 10.846132, -3.739194, -1.024169, -2.303551, 14.903805, -3.078850, 18.216637, -4.075800, 24.274206, 1.801257, 21.042794, -1.549294, 4.489036, -0.741463, 28.552097, -2.404934, -19.840641, -2.151573, -14.386318, -4.873459, 19.125217, -0.224549, 16.910796, -1.102292, 26.404557, -4.341739, 11.601387, 4.731703, 24.213040, -2.692624, 24.316517, -0.285907, 18.407856, -3.181795, -9.750648, 1.056611, -2.711982, 0.944697, -10.714336, -2.564591, 22.032762, 3.462053, 20.322209, 2.372510, -19.676696, 0.275406, -15.885064, 3.383548, 19.211301, -2.646226, 18.751067, 4.140563, 4.086886, 4.546113, 26.727267, -2.605485, -8.626996, 0.954076, -7.482887, 3.602807, 19.322692, 0.611304, 11.223921, 3.778351, -0.144620, 0.356090, 25.185367, 3.783778, 13.494942, 2.864022, 4.970218, -1.625016, -9.267841, 0.097001, 19.455895, -1.415601, -3.205495, 2.710895, -1.859910, 4.153546, 23.030860, 4.837550, 20.048196, 1.912591, -0.433096, -2.461056, 28.476015, 3.347655, -11.691362, -3.153061, 19.108089, -3.279063, 2.424727, -3.085139, 26.160791, 3.867624, -12.458417, -4.035965, 16.791158, -2.140553, 28.823945, 4.119162, -16.545107, 1.868969, -18.753992, 5.017392, 16.805730, 1.557022, 16.784544, -2.250488, 8.227814, -2.747791, -14.088953, 0.766767, 27.790825, -0.947194, -17.768135, -4.389371, 15.689193, 2.784642, 23.061250, 4.965252, 2.358402, -2.843897, -19.304530, -4.157723, 4.299983, 0.778355, 2.763023, 3.045663, -4.142731, -0.659997, 5.075480, 4.728061, 11.639425, 1.000097, 7.500644, 3.957614, 28.572318, 0.873868, 14.108190, 2.378792, 4.590406, 1.553522, 29.160313, 1.976004, 26.489128, 2.337843, 2.978051, -4.320511, 6.457723, 4.986555, 14.548333, 1.062192, -8.325061, -4.620178, -9.362871, 0.434532, -18.975942, 2.479499, 23.102409, -1.738895, 2.295047, -0.938468, 15.325233, 3.154317, 29.172879, 3.997505, 7.521915, 4.403806, 13.541119, 1.130252, 3.255928, -3.786385, 10.210481, 2.800986, 6.402480, -2.706189, 30.024458, -4.720896, 15.140725, -0.868299, -3.864506, 3.655856, -12.279160, -0.695591, 28.088035, -4.429331, 26.607217, -0.618732, 18.760162, 3.374157, -5.936003, -4.801638, -0.221718, -2.358994, -8.646433, 1.477403, 12.499402, 4.025151, 0.766342, 2.286405, 
2, 28.462801, -2.187810, 18.871871, 0.371652, 21.083411, -3.210850, 14.283070, 4.219366, 25.199247, -1.504478, -14.073437, 0.335846, -0.345072, -5.113573, -13.434154, -4.398114, -9.116165, 4.860866, -4.189803, 0.110063, -10.799667, -1.937812, 26.328814, -2.178724, 2.626125, 1.007932, 9.165511, -3.242222, -7.463974, -5.002048, 14.055477, 1.827165, 29.610541, 4.316951, -15.432892, 4.826869, 16.005816, -2.669998, -13.706097, 2.261856, 16.452324, -0.432829, -19.363412, -0.077657, 20.247891, 1.246456, -2.134676, 4.123848, -4.791553, -3.835492, -16.486546, -4.887135, 23.208420, -2.355589, 7.893798, 1.553621, 29.049604, 0.773904, 21.356245, -4.313332, -0.188150, -1.227433, 19.483488, 3.603858, 0.230299, -3.753619, -13.988949, -3.339517, -12.800246, -1.339371, 9.346055, -3.084263, 20.074481, -4.666476, -19.339435, 2.227668, -13.305824, -1.329088, -7.497053, -0.260769, -8.419879, 0.075764, 21.295901, 1.846094, 4.697453, 3.938774, 4.804214, -2.368520, 5.157971, -0.431420, 26.825877, 3.601491, 7.493331, 0.845169, -2.052899, 1.196564, 9.643506, -0.924286, -8.898215, -3.207527, 28.019777, -3.360405, -18.467308, 0.047874, 5.459358, 3.004077, 1.338923, -0.051331, -6.064159, 1.964866, 24.724655, -4.681443, -14.088699, -3.194515, 19.822458, 0.646079, 3.598891, 3.373134, 14.139315, -3.722711, 21.482071, -2.456764, 27.610371, 3.535306, -14.915980, -3.780739, -17.699226, 0.376688, -11.017939, -2.769977, -12.390004, 5.213413, 23.385494, 1.174062, 7.154595, -2.411883, -6.848998, -2.774804, 8.090327, 3.848102, -14.090633, 1.664376, 25.453436, -2.971176, -5.734062, -0.842945, 1.387612, 4.318699, 2.318713, 1.784382, -15.668368, 5.327840, -11.166929, 1.507536, 21.462235, 2.956137, -7.115256, -0.339376, 25.372204, -4.889204, 13.145999, 4.966385, -6.424906, -5.029502, -7.638337, 3.071397, 13.914116, -3.591170, 27.106393, -4.716543, 17.253166, 2.335015, 4.478495, -2.193232, -2.150862, -2.747411, -4.808332, 1.663640, -13.093355, 3.819014, 14.775862, -3.126313, 4.966602, 3.423736, -8.687548, 2.999409, 23.202484, -1.347947, 7.694936, -0.667829, 26.495929, -0.621465, 29.104514, -1.953916, 3.605001, -1.893821, -12.878471, 1.021962, 19.632443, -3.026177, 22.172024, -2.279452, 10.948954, -2.800864, -9.998770, -4.690586, -16.480719, 3.830144, 17.010878, -3.719954, 1.651460, 2.173809, 14.490064, 5.064110, -10.603113, 3.026225, -6.680172, -4.746688, 24.210291, 1.716553, 1.046370, -0.013367, -3.471628, -0.747811, -12.416009, 0.255897, -4.911128, -1.775238, 4.909082, 4.299639, -6.948204, 1.892628, -10.269666, -2.728990, 29.642174, 1.558584, -3.300735, 2.880915, 7.870994, 2.897825, -8.390279, 4.739437, 10.789561, -3.566642, -1.080870, -2.542183, 14.787640, -3.053466, 18.283368, -4.180453, 24.130996, 1.966545, 20.821284, -1.617912, 4.426636, -0.818411, 28.765874, -2.261550, -19.838029, -2.266116, -14.200031, -4.868572, 19.153691, -0.227189, 16.872383, -1.326434, 26.350673, -4.503830, 11.475301, 4.602570, 24.250383, -2.865643, 24.220968, -0.345081, 18.385285, -3.256945, -9.599622, 1.060494, -2.926889, 0.977486, -10.952479, -2.385601, 22.125045, 3.454334, 20.340013, 2.601095, -19.650898, 0.179791, -16.035929, 3.573986, 19.000009, -2.725484, 18.593638, 4.163344, 4.067830, 4.529226, 26.720884, -2.819136, -8.838042, 1.130914, -7.360486, 3.649368, 19.419180, 0.647600, 11.137887, 3.681542, -0.080066, 0.442572, 25.277155, 3.977660, 13.714160, 2.828161, 5.023145, -1.383959, -9.079823, -0.066295, 19.637874, -1.452418, -3.324226, 2.674644, -1.815224, 4.186642, 23.240155, 5.032888, 19.983736, 1.993264, -0.311905, -2.620718, 28.462002, 3.475359, -11.923343, -2.957668, 19.001445, -3.431017, 2.452036, -3.324281, 26.321590, 3.666615, -12.264237, -4.151703, 16.585943, -1.988103, 28.797219, 3.888854, -16.315603, 2.114989, -18.907890, 5.218659, 17.032318, 1.534304, 16.924238, -2.394893, 8.226037, -2.622791, -13.937699, 0.915369, 27.583138, -0.906859, -17.827731, -4.527673, 15.490625, 2.682190, 22.819461, 5.178366, 2.495733, -2.946478, -19.069748, -4.376233, 4.481159, 0.538823, 2.988647, 3.184114, -4.202333, -0.545513, 5.158696, 4.673736, 11.401420, 0.885560, 7.670432, 3.991896, 28.560873, 0.907268, 14.123057, 2.225431, 4.704098, 1.756545, 29.081339, 1.892757, 26.392558, 2.251684, 3.157348, -4.449527, 6.252700, 5.159597, 14.695516, 1.297249, -8.375427, -4.635245, -9.202066, 0.652610, -18.777988, 2.572388, 23.022473, -1.966347, 2.375100, -0.892005, 15.514969, 2.950344, 29.382669, 4.080203, 7.590571, 4.194914, 13.584314, 1.055517, 3.197694, -3.820353, 10.071597, 2.606289, 6.239021, -2.905389, 30.249805, -4.905617, 15.086560, -0.784184, -3.687313, 3.652644, -12.048463, -0.792076, 28.113287, -4.439459, 26.544647, -0.551798, 18.771564, 3.364890, -5.849418, -4.990777, -0.060771, -2.336657, -8.562617, 1.277559, 12.728682, 4.270067, 0.666854, 2.408371, 
3, 28.386285, -2.207626, 18.824848, 0.281129, 21.050355, -3.328870, 14.043890, 4.381964, 25.296143, -1.702702, -13.997296, 0.431423, -0.520527, -5.269997, -13.543389, -4.211259, -8.965791, 4.869214, -4.173442, -0.121213, -10.811927, -1.982304, 26.406337, -2.254429, 2.386425, 1.231431, 9.356411, -3.127312, -7.384460, -5.087154, 14.230254, 1.675599, 29.837678, 4.090051, -15.358339, 4.981491, 15.955121, -2.457326, -13.839031, 2.214562, 16.296382, -0.331941, -19.562062, 0.139652, 20.326177, 1.347890, -2.079005, 4.092001, -4.692613, -3.979259, -16.689826, -4.899159, 23.406456, -2.121839, 8.113264, 1.571068, 28.949217, 0.907204, 21.571690, -4.157405, -0.360971, -1.082770, 19.283040, 3.451278, 0.265992, -3.607247, -13.882262, -3.241680, -12.810919, -1.128636, 9.393341, -2.959536, 20.133207, -4.899881, -19.324635, 2.345608, -13.248719, -1.469197, -7.568904, -0.137329, -8.439171, 0.045525, 21.296357, 1.997543, 4.704932, 4.077877, 4.828138, -2.559981, 5.118967, -0.394997, 26.986995, 3.823172, 7.284654, 1.053031, -1.991224, 1.049242, 9.825701, -1.137534, -8.764388, -3.048276, 27.855411, -3.538097, -18.456862, 0.093542, 5.294221, 3.233176, 1.114261, 0.177660, -5.978249, 1.872302, 24.630659, -4.592756, -14.308487, -3.030539, 20.034400, 0.845099, 3.476992, 3.595515, 14.124924, -3.820988, 21.417889, -2.525517, 27.364554, 3.416145, -15.058494, -3.995409, -17.863167, 0.235878, -10.981199, -2.931791, -12.463225, 5.427041, 23.229205, 1.250121, 7.102182, -2.260649, -6.886358, -2.879781, 7.841758, 4.068578, -14.048649, 1.668238, 25.264409, -2.831679, -5.668529, -0.762044, 1.315502, 4.243558, 2.178999, 1.594346, -15.433780, 5.516566, -11.180549, 1.536136, 21.382837, 2.872012, -7.261655, -0.250364, 25.613698, -5.072014, 13.010773, 5.119477, -6.383942, -5.079331, -7.672137, 3.277725, 13.942772, -3.641826, 26.866870, -4.891326, 17.411605, 2.366383, 4.548510, -2.138239, -2.260595, -2.520539, -4.812016, 1.497163, -13.151860, 4.025664, 14.840028, -2.983940, 4.932201, 3.649629, -8.746150, 3.161795, 23.020240, -1.393591, 7.578015, -0.590074, 26.257516, -0.437395, 29.353427, -1.930899, 3.547308, -2.079966, -12.988558, 1.215104, 19.584385, -3.253694, 21.990368, -2.284732, 10.846503, -2.770136, -9.802200, -4.901605, -16.527955, 3.874422, 17.210476, -3.598412, 1.648547, 2.154418, 14.564869, 5.307148, -10.800386, 3.055291, -6.878688, -4.753200, 24.377995, 1.749489, 0.937857, -0.121809, -3.604220, -0.614519, -12.242130, 0.282136, -4.971905, -1.560270, 5.044156, 4.226702, -7.184162, 1.968623, -10.099643, -2.706744, 29.838227, 1.490927, -3.547041, 2.642820, 7.953673, 2.975695, -8.208721, 4.646549, 10.732991, -3.394089, -1.137570, -2.780815, 14.671475, -3.028082, 18.350100, -4.285107, 23.987786, 2.131833, 20.599774, -1.686531, 4.364235, -0.895359, 28.979650, -2.118166, -19.835416, -2.380659, -14.013743, -4.863685, 19.182166, -0.229829, 16.833970, -1.550576, 26.296789, -4.665920, 11.349216, 4.473437, 24.287726, -3.038663, 24.125419, -0.404255, 18.362714, -3.332096, -9.448597, 1.064378, -3.141795, 1.010276, -11.190623, -2.206610, 22.217328, 3.446616, 20.357817, 2.829679, -19.625100, 0.084176, -16.186794, 3.764424, 18.788717, -2.804741, 18.436209, 4.186125, 4.048774, 4.512338, 26.714500, -3.032788, -9.049088, 1.307751, -7.238085, 3.695928, 19.515668, 0.683896, 11.051853, 3.584733, -0.015513, 0.529055, 25.368943, 4.171542, 13.933378, 2.792300, 5.076071, -1.142902, -8.891806, -0.229590, 19.819854, -1.489235, -3.442956, 2.638393, -1.770539, 4.219738, 23.449450, 5.228226, 19.919276, 2.073937, -0.190713, -2.780380, 28.447988, 3.603063, -12.155324, -2.762274, 18.894801, -3.582972, 2.479345, -3.563422, 26.482389, 3.465606, -12.070058, -4.267442, 16.380728, -1.835653, 28.770492, 3.658546, -16.086098, 2.361008, -19.061789, 5.419926, 17.258906, 1.511587, 17.063932, -2.539298, 8.224259, -2.497791, -13.786445, 1.063972, 27.375451, -0.866525, -17.887327, -4.665976, 15.292057, 2.579737, 22.577672, 5.391479, 2.633064, -3.049059, -18.834966, -4.594743, 4.662335, 0.299291, 3.214272, 3.322566, -4.261935, -0.431029, 5.241912, 4.619412, 11.163415, 0.771023, 7.840219, 4.026177, 28.549428, 0.940668, 14.137924, 2.072070, 4.817789, 1.959568, 29.002365, 1.809509, 26.295988, 2.165525, 3.336645, -4.578543, 6.047678, 5.332639, 14.842699, 1.532306, -8.425793, -4.650311, -9.041262, 0.870688, -18.580034, 2.665277, 22.942537, -2.193799, 2.455152, -0.845541, 15.704705, 2.746370, 29.592459, 4.162900, 7.659226, 3.986022, 13.627509, 0.980782, 3.139459, -3.854322, 9.932713, 2.411591, 6.075562, -3.104589, 30.475152, -5.090338, 15.032396, -0.700069, -3.510120, 3.649432, -11.817766, -0.888561, 28.138540, -4.449588, 26.482076, -0.484864, 18.782966, 3.355622, -5.762834, -5.179917, 0.100175, -2.314319, -8.478801, 1.077716, 12.957961, 4.514982, 0.567367, 2.530336, 
4, 28.309768, -2.227442, 18.777825, 0.190605, 21.017300, -3.446889, 13.804710, 4.544562, 25.393039, -1.900926, -13.921154, 0.527001, -0.695982, -5.426420, -13.652624, -4.024403, -8.815417, 4.877561, -4.157081, -0.352489, -10.824186, -2.026795, 26.483860, -2.330134, 2.146726, 1.454929, 9.547312, -3.012402, -7.304945, -5.172261, 14.405031, 1.524034, 30.064815, 3.863150, -15.283785, 5.136114, 15.904427, -2.244655, -13.971966, 2.167269, 16.140440, -0.231052, -19.760712, 0.356960, 20.404462, 1.449324, -2.023335, 4.060153, -4.593673, -4.123027, -16.893106, -4.911184, 23.604493, -1.888089, 8.332730, 1.588514, 28.848829, 1.040504, 21.787135, -4.001477, -0.533792, -0.938107, 19.082592, 3.298699, 0.301684, -3.460875, -13.775575, -3.143844, -12.821593, -0.917902, 9.440628, -2.834808, 20.191932, -5.133285, -19.309836, 2.463549, -13.191613, -1.609307, -7.640755, -0.013889, -8.458463, 0.015287, 21.296813, 2.148992, 4.712410, 4.216980, 4.852062, -2.751441, 5.079964, -0.358574, 27.148113, 4.044853, 7.075976, 1.260893, -1.929550, 0.901919, 10.007897, -1.350782, -8.630560, -2.889026, 27.691046, -3.715789, -18.446415, 0.139210, 5.129085, 3.462275, 0.889599, 0.406651, -5.892339, 1.779738, 24.536663, -4.504069, -14.528274, -2.866562, 20.246343, 1.044118, 3.355092, 3.817895, 14.110532, -3.919265, 21.353706, -2.594269, 27.118737, 3.296984, -15.201008, -4.210079, -18.027108, 0.095067, -10.944458, -3.093605, -12.536447, 5.640670, 23.072917, 1.326180, 7.049768, -2.109416, -6.923718, -2.984759, 7.593189, 4.289053, -14.006664, 1.672099, 25.075382, -2.692182, -5.602996, -0.681142, 1.243391, 4.168417, 2.039284, 1.404310, -15.199192, 5.705292, -11.194169, 1.564736, 21.303439, 2.787888, -7.408054, -0.161352, 25.855191, -5.254824, 12.875548, 5.272569, -6.342978, -5.129160, -7.705938, 3.484054, 13.971428, -3.692482, 26.627347, -5.066109, 17.570045, 2.397752, 4.618524, -2.083245, -2.370328, -2.293666, -4.815701, 1.330685, -13.210366, 4.232315, 14.904193, -2.841567, 4.897800, 3.875523, -8.804752, 3.324182, 22.837995, -1.439235, 7.461095, -0.512319, 26.019102, -0.253325, 29.602341, -1.907882, 3.489616, -2.266110, -13.098644, 1.408246, 19.536328, -3.481212, 21.808712, -2.290012, 10.744053, -2.739408, -9.605630, -5.112623, -16.575191, 3.918700, 17.410075, -3.476870, 1.645635, 2.135027, 14.639674, 5.550185, -10.997659, 3.084357, -7.077205, -4.759711, 24.545698, 1.782426, 0.829344, -0.230252, -3.736812, -0.481228, -12.068251, 0.308375, -5.032682, -1.345302, 5.179230, 4.153765, -7.420120, 2.044618, -9.929621, -2.684497, 30.034280, 1.423270, -3.793348, 2.404726, 8.036351, 3.053564, -8.027163, 4.553661, 10.676421, -3.221537, -1.194270, -3.019446, 14.555310, -3.002698, 18.416831, -4.389761, 23.844576, 2.297121, 20.378264, -1.755150, 4.301835, -0.972306, 29.193427, -1.974782, -19.832804, -2.495203, -13.827455, -4.858798, 19.210640, -0.232469, 16.795558, -1.774719, 26.242904, -4.828011, 11.223131, 4.344304, 24.325068, -3.211682, 24.029871, -0.463429, 18.340143, -3.407247, -9.297572, 1.068262, -3.356702, 1.043065, -11.428766, -2.027619, 22.309611, 3.438897, 20.375621, 3.058263, -19.599302, -0.011438, -16.337659, 3.954862, 18.577424, -2.883998, 18.278780, 4.208906, 4.029717, 4.495451, 26.708117, -3.246439, -9.260135, 1.484588, -7.115684, 3.742488, 19.612155, 0.720192, 10.965819, 3.487924, 0.049041, 0.615537, 25.460732, 4.365424, 14.152595, 2.756439, 5.128997, -0.901845, -8.703789, -0.392884, 20.001833, -1.526052, -3.561686, 2.602142, -1.725853, 4.252834, 23.658745, 5.423564, 19.854816, 2.154610, -0.069522, -2.940043, 28.433975, 3.730767, -12.387305, -2.566881, 18.788158, -3.734926, 2.506653, -3.802564, 26.643188, 3.264597, -11.875878, -4.383180, 16.175512, -1.683203, 28.743766, 3.428239, -15.856594, 2.607028, -19.215688, 5.621194, 17.485494, 1.488869, 17.203627, -2.683703, 8.222481, -2.372791, -13.635191, 1.212574, 27.167763, -0.826190, -17.946922, -4.804278, 15.093489, 2.477284, 22.335882, 5.604592, 2.770395, -3.151640, -18.600185, -4.813253, 4.843510, 0.059759, 3.439897, 3.461017, -4.321537, -0.316545, 5.325127, 4.565087, 10.925410, 0.656485, 8.010006, 4.060459, 28.537984, 0.974068, 14.152791, 1.918709, 4.931481, 2.162591, 28.923391, 1.726262, 26.199417, 2.079367, 3.515942, -4.707559, 5.842655, 5.505681, 14.989881, 1.767362, -8.476159, -4.665378, -8.880457, 1.088766, -18.382080, 2.758166, 22.862601, -2.421251, 2.535205, -0.799078, 15.894441, 2.542397, 29.802248, 4.245597, 7.727882, 3.777130, 13.670705, 0.906046, 3.081224, -3.888290, 9.793829, 2.216894, 5.912103, -3.303789, 30.700498, -5.275059, 14.978231, -0.615954, -3.332926, 3.646221, -11.587069, -0.985046, 28.163793, -4.459716, 26.419505, -0.417930, 18.794367, 3.346354, -5.676249, -5.369057, 0.261122, -2.291982, -8.394985, 0.877872, 13.187241, 4.759898, 0.467879, 2.652301, 
