t, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, 
11, -2.886098, -0.208749, 1.755396, -0.569701, 1.890614, 0.622201, -0.257506, 1.934358, -3.491263, -3.958396, 4.797321, 1.994031, -3.549616, -0.686282, 3.277600, -2.419067, 5.285413, -3.276216, 2.768049, -5.968119, 3.141518, 3.003341, -3.909601, 0.050187, -0.530604, -6.975351, 0.388117, -0.054296, 3.615919, -3.023357, 2.393146, -3.496350, 4.734272, -6.243759, -2.086496, 2.097368, -2.731171, -1.183302, -1.389049, 0.208022, -4.085313, 1.966941, -3.177009, -6.505735, 4.211697, -2.889810, 3.496369, -0.218444, 1.536307, -1.925822, -3.455236, -0.684699, -3.623660, 0.929018, -4.888224, 4.507345, 3.180638, 0.331462, 7.355974, -4.895598, -1.863261, 3.055432, 3.212872, 1.651927, -2.213276, -1.396231, -3.287765, -1.896707, -0.772063, -2.509721, 2.519831, 2.432107, 1.425267, 2.174154, -1.272231, -1.525888, -0.853693, 1.926240, -2.173633, -3.815338, -5.161622, -2.602279, -0.657737, -3.897566, 5.549156, -2.802706, 2.603400, -3.428282, 6.837800, 1.647471, 0.533185, -5.337886, -2.400719, -2.061295, 0.946908, 4.473836, -3.631361, 0.398868, -5.661741, 6.202692, 
12, -3.076376, -0.352891, 1.828164, -0.445356, 1.679606, 0.752224, -0.454003, 2.036681, -3.434589, -3.930504, 4.864083, 1.961944, -3.620036, -0.786612, 3.219969, -2.639960, 5.330769, -3.358985, 2.705532, -6.074184, 3.281380, 3.003483, -4.076326, 0.061761, -0.493165, -7.186407, 0.479274, 0.190484, 3.520503, -2.965139, 2.480792, -3.645397, 4.979963, -6.412397, -2.101550, 2.083072, -2.580885, -1.074557, -1.266316, -0.002794, -4.232471, 1.755876, -3.237616, -6.703115, 4.445178, -2.827527, 3.701194, -0.168677, 1.648147, -1.941713, -3.616191, -0.564592, -3.659378, 1.004660, -5.116660, 4.531264, 3.271210, 0.375963, 7.580597, -4.995500, -2.032232, 2.883781, 3.237522, 1.790522, -2.063866, -1.352399, -3.211635, -1.905570, -0.930324, -2.647565, 2.570476, 2.199395, 1.183963, 2.311866, -1.089205, -1.340694, -0.724764, 2.123945, -1.993786, -4.003151, -5.180335, -2.645200, -0.834852, -3.857764, 5.689252, -2.822836, 2.643187, -3.641217, 7.027482, 1.778267, 0.407700, -5.504089, -2.619429, -1.909655, 1.157019, 4.551489, -3.612197, 0.564933, -5.737662, 6.350747, 
13, -3.266654, -0.497033, 1.900931, -0.321011, 1.468598, 0.882248, -0.650500, 2.139004, -3.377915, -3.902612, 4.930845, 1.929857, -3.690455, -0.886942, 3.162338, -2.860853, 5.376126, -3.441755, 2.643015, -6.180248, 3.421243, 3.003625, -4.243051, 0.073336, -0.455727, -7.397464, 0.570431, 0.435264, 3.425088, -2.906921, 2.568439, -3.794444, 5.225653, -6.581036, -2.116603, 2.068777, -2.430600, -0.965811, -1.143583, -0.213611, -4.379629, 1.544810, -3.298222, -6.900495, 4.678660, -2.765243, 3.906018, -0.118910, 1.759987, -1.957604, -3.777145, -0.444486, -3.695095, 1.080303, -5.345095, 4.555183, 3.361782, 0.420465, 7.805220, -5.095403, -2.201203, 2.712131, 3.262171, 1.929117, -1.914456, -1.308566, -3.135504, -1.914433, -1.088585, -2.785408, 2.621121, 1.966682, 0.942659, 2.449579, -0.906179, -1.155500, -0.595835, 2.321650, -1.813940, -4.190963, -5.199047, -2.688122, -1.011967, -3.817961, 5.829347, -2.842965, 2.682975, -3.854152, 7.217164, 1.909064, 0.282216, -5.670292, -2.838139, -1.758014, 1.367131, 4.629141, -3.593033, 0.730998, -5.813583, 6.498802, 
14, -3.456932, -0.641175, 1.973699, -0.196666, 1.257590, 1.012272, -0.846997, 2.241328, -3.321240, -3.874720, 4.997607, 1.897770, -3.760874, -0.987271, 3.104707, -3.081746, 5.421482, -3.524524, 2.580499, -6.286313, 3.561105, 3.003767, -4.409776, 0.084911, -0.418288, -7.608521, 0.661589, 0.680043, 3.329673, -2.848703, 2.656086, -3.943491, 5.471344, -6.749674, -2.131657, 2.054482, -2.280314, -0.857066, -1.020850, -0.424427, -4.526787, 1.333745, -3.358829, -7.097876, 4.912141, -2.702959, 4.110842, -0.069142, 1.871826, -1.973494, -3.938100, -0.324379, -3.730812, 1.155945, -5.573531, 4.579101, 3.452354, 0.464966, 8.029843, -5.195306, -2.370174, 2.540480, 3.286821, 2.067712, -1.765047, -1.264734, -3.059374, -1.923295, -1.246846, -2.923251, 2.671766, 1.733969, 0.701355, 2.587291, -0.723153, -0.970307, -0.466905, 2.519355, -1.634093, -4.378776, -5.217759, -2.731043, -1.189082, -3.778159, 5.969443, -2.863094, 2.722762, -4.067087, 7.406847, 2.039861, 0.156731, -5.836495, -3.056849, -1.606373, 1.577243, 4.706794, -3.573870, 0.897063, -5.889504, 6.646858, 
15, -3.647210, -0.785317, 2.046466, -0.072320, 1.046582, 1.142296, -1.043494, 2.343652, -3.264566, -3.846828, 5.064369, 1.865683, -3.831294, -1.087601, 3.047077, -3.302639, 5.466838, -3.607293, 2.517982, -6.392378, 3.700967, 3.003908, -4.576502, 0.096486, -0.380849, -7.819578, 0.752746, 0.924823, 3.234257, -2.790485, 2.743734, -4.092539, 5.717034, -6.918312, -2.146710, 2.040186, -2.130028, -0.748320, -0.898117, -0.635244, -4.673945, 1.122679, -3.419436, -7.295256, 5.145623, -2.640675, 4.315666, -0.019375, 1.983666, -1.989385, -4.099055, -0.204273, -3.766530, 1.231588, -5.801967, 4.603020, 3.542926, 0.509467, 8.254466, -5.295209, -2.539145, 2.368829, 3.311471, 2.206306, -1.615637, -1.220901, -2.983244, -1.932158, -1.405107, -3.061094, 2.722412, 1.501256, 0.460051, 2.725003, -0.540127, -0.785113, -0.337975, 2.717060, -1.454247, -4.566588, -5.236471, -2.773965, -1.366197, -3.738356, 6.109538, -2.883224, 2.762549, -4.280023, 7.596529, 2.170658, 0.031247, -6.002697, -3.275559, -1.454732, 1.787354, 4.784447, -3.554706, 1.063128, -5.965425, 6.794913, 
16, -3.837488, -0.929459, 2.119233, 0.052025, 0.835575, 1.272319, -1.239991, 2.445975, -3.207892, -3.818936, 5.131131, 1.833596, -3.901713, -1.187931, 2.989446, -3.523532, 5.512194, -3.690062, 2.455466, -6.498442, 3.840829, 3.004050, -4.743227, 0.108060, -0.343410, -8.030634, 0.843904, 1.169603, 3.138842, -2.732266, 2.831381, -4.241586, 5.962725, -7.086950, -2.161764, 2.025891, -1.979743, -0.639575, -0.775384, -0.846060, -4.821103, 0.911613, -3.480043, -7.492636, 5.379104, -2.578392, 4.520490, 0.030392, 2.095505, -2.005276, -4.260010, -0.084166, -3.802247, 1.307230, -6.030403, 4.626938, 3.633498, 0.553969, 8.479090, -5.395112, -2.708116, 2.197178, 3.336121, 2.344901, -1.466227, -1.177069, -2.907113, -1.941021, -1.563368, -3.198938, 2.773057, 1.268543, 0.218747, 2.862715, -0.357101, -0.599919, -0.209046, 2.914765, -1.274400, -4.754401, -5.255183, -2.816887, -1.543312, -3.698553, 6.249634, -2.903353, 2.802339, -4.492963, 7.786212, 2.301454, -0.094238, -6.168900, -3.494269, -1.303091, 1.997466, 4.862099, -3.535542, 1.229193, -6.041346, 6.942968, 
17, -4.027767, -1.073601, 2.192001, 0.176370, 0.624567, 1.402343, -1.436487, 2.548299, -3.151218, -3.791043, 5.197893, 1.801509, -3.972132, -1.288260, 2.931815, -3.744425, 5.557550, -3.772832, 2.392949, -6.604507, 3.980691, 3.004192, -4.909952, 0.119635, -0.305971, -8.241691, 0.935061, 1.414383, 3.043426, -2.674048, 2.919028, -4.390634, 6.208415, -7.255588, -2.176817, 2.011596, -1.829457, -0.530830, -0.652651, -1.056877, -4.968261, 0.700548, -3.540650, -7.690016, 5.612585, -2.516108, 4.725314, 0.080159, 2.207345, -2.021167, -4.420964, 0.035940, -3.837964, 1.382873, -6.258839, 4.650857, 3.724070, 0.598470, 8.703713, -5.495015, -2.877087, 2.025527, 3.360771, 2.483496, -1.316817, -1.133236, -2.830983, -1.949884, -1.721629, -3.336781, 2.823702, 1.035830, -0.022557, 3.000428, -0.174075, -0.414726, -0.080116, 3.112470, -1.094554, -4.942213, -5.273896, -2.859808, -1.720427, -3.658751, 6.389729, -2.923482, 2.842130, -4.705903, 7.975894, 2.432251, -0.219722, -6.335103, -3.712979, -1.151450, 2.207577, 4.939752, -3.516379, 1.395258, -6.117267, 7.091023, 
18, -4.218045, -1.217744, 2.264768, 0.300715, 0.413559, 1.532366, -1.632984, 2.650623, -3.094544, -3.763151, 5.264655, 1.769422, -4.042551, -1.388590, 2.874184, -3.965318, 5.602906, -3.855601, 2.330432, -6.710572, 4.120553, 3.004334, -5.076677, 0.131210, -0.268532, -8.452748, 1.026218, 1.659162, 2.948011, -2.615830, 3.006675, -4.539681, 6.454106, -7.424227, -2.191871, 1.997300, -1.679172, -0.422084, -0.529919, -1.267693, -5.115419, 0.489482, -3.601257, -7.887397, 5.846067, -2.453824, 4.930138, 0.129926, 2.319185, -2.037058, -4.581919, 0.156046, -3.873681, 1.458515, -6.487274, 4.674776, 3.814642, 0.642971, 8.928336, -5.594917, -3.046058, 1.853877, 3.385421, 2.622091, -1.167408, -1.089404, -2.754852, -1.958746, -1.879890, -3.474624, 2.874347, 0.803117, -0.263861, 3.138140, 0.008951, -0.229532, 0.048814, 3.310175, -0.914708, -5.130025, -5.292608, -2.902730, -1.897542, -3.618948, 6.529825, -2.943611, 2.881922, -4.918842, 8.165577, 2.563048, -0.345207, -6.501306, -3.931689, -0.999809, 2.417689, 5.017404, -3.497215, 1.561323, -6.193188, 7.239078, 
19, -4.408323, -1.361886, 2.337536, 0.425060, 0.202551, 1.662389, -1.829481, 2.752946, -3.037870, -3.735259, 5.331417, 1.737335, -4.112971, -1.488919, 2.816553, -4.186211, 5.648262, -3.938370, 2.267916, -6.816636, 4.260416, 3.004475, -5.243402, 0.142785, -0.231094, -8.663804, 1.117376, 1.903942, 2.852595, -2.557612, 3.094323, -4.688729, 6.699796, -7.592865, -2.206924, 1.983005, -1.528886, -0.313339, -0.407186, -1.478510, -5.262577, 0.278417, -3.661864, -8.084777, 6.079548, -2.391540, 5.134962, 0.179693, 2.431024, -2.052949, -4.742874, 0.276153, -3.909399, 1.534157, -6.715710, 4.698694, 3.905214, 0.687473, 9.152959, -5.694820, -3.215029, 1.682226, 3.410071, 2.760686, -1.017998, -1.045571, -2.678722, -1.967609, -2.038151, -3.612467, 2.924992, 0.570405, -0.505165, 3.275853, 0.191977, -0.044338, 0.177744, 3.507880, -0.734861, -5.317838, -5.311320, -2.945651, -2.074657, -3.579145, 6.669920, -2.963741, 2.921713, -5.131781, 8.355259, 2.693845, -0.470692, -6.667509, -4.150399, -0.848169, 2.627800, 5.095057, -3.478051, 1.727388, -6.269109, 7.387133, 
20, -4.598601, -1.506028, 2.410303, 0.549405, -0.008457, 1.792412, -2.025978, 2.855270, -2.981196, -3.707367, 5.398179, 1.705249, -4.183390, -1.589248, 2.758923, -4.407104, 5.693618, -4.021140, 2.205399, -6.922701, 4.400278, 3.004617, -5.410127, 0.154359, -0.193655, -8.874861, 1.208533, 2.148722, 2.757180, -2.499394, 3.181970, -4.837777, 6.945487, -7.761503, -2.221978, 1.968710, -1.378601, -0.204593, -0.284453, -1.689327, -5.409735, 0.067351, -3.722471, -8.282157, 6.313029, -2.329257, 5.339786, 0.229460, 2.542864, -2.068840, -4.903829, 0.396259, -3.945116, 1.609800, -6.944146, 4.722613, 3.995786, 0.731974, 9.377582, -5.794723, -3.384000, 1.510575, 3.434721, 2.899281, -0.868588, -1.001739, -2.602591, -1.976472, -2.196412, -3.750311, 2.975637, 0.337692, -0.746469, 3.413565, 0.375002, 0.140855, 0.306674, 3.705585, -0.555015, -5.505650, -5.330032, -2.988573, -2.251772, -3.539342, 6.810016, -2.983870, 2.961505, -5.344720, 8.544942, 2.824642, -0.596176, -6.833712, -4.369109, -0.696528, 2.837912, 5.172709, -3.458888, 1.893453, -6.345030, 7.535188, 
