t, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, 
21, -4.788879, -1.650170, 2.483071, 0.673750, -0.219465, 1.922435, -2.222475, 2.957593, -2.924521, -3.679475, 5.464941, 1.673162, -4.253809, -1.689578, 2.701292, -4.627997, 5.738974, -4.103909, 2.142882, -7.028766, 4.540140, 3.004759, -5.576852, 0.165934, -0.156216, -9.085918, 1.299691, 2.393502, 2.661764, -2.441176, 3.269617, -4.986824, 7.191178, -7.930141, -2.237031, 1.954414, -1.228315, -0.095848, -0.161720, -1.900143, -5.556893, -0.143715, -3.783077, -8.479537, 6.546511, -2.266973, 5.544610, 0.279227, 2.654704, -2.084731, -5.064784, 0.516365, -3.980833, 1.685442, -7.172582, 4.746531, 4.086358, 0.776475, 9.602205, -5.894626, -3.552971, 1.338924, 3.459371, 3.037876, -0.719178, -0.957906, -2.526461, -1.985334, -2.354675, -3.888153, 3.026282, 0.104979, -0.987773, 3.551278, 0.558028, 0.326049, 0.435604, 3.903290, -0.375168, -5.693463, -5.348744, -3.031494, -2.428885, -3.499541, 6.950111, -3.003999, 3.001296, -5.557660, 8.734624, 2.955438, -0.721661, -6.999915, -4.587819, -0.544887, 3.048023, 5.250362, -3.439724, 2.059518, -6.420951, 7.683244, 
22, -4.979157, -1.794312, 2.555838, 0.798095, -0.430473, 2.052458, -2.418972, 3.059917, -2.867847, -3.651583, 5.531703, 1.641075, -4.324228, -1.789907, 2.643661, -4.848891, 5.784330, -4.186678, 2.080366, -7.134830, 4.680002, 3.004900, -5.743577, 0.177509, -0.118777, -9.296975, 1.390848, 2.638282, 2.566349, -2.382958, 3.357264, -5.135872, 7.436868, -8.098779, -2.252085, 1.940119, -1.078030, 0.012897, -0.038987, -2.110960, -5.704051, -0.354780, -3.843684, -8.676917, 6.779992, -2.204689, 5.749434, 0.328995, 2.766543, -2.100622, -5.225738, 0.636472, -4.016550, 1.761084, -7.401018, 4.770450, 4.176930, 0.820977, 9.826828, -5.994529, -3.721942, 1.167273, 3.484021, 3.176470, -0.569769, -0.914073, -2.450331, -1.994197, -2.512938, -4.025995, 3.076927, -0.127734, -1.229077, 3.688991, 0.741054, 0.511243, 0.564533, 4.100994, -0.195322, -5.881275, -5.367456, -3.074416, -2.605998, -3.459740, 7.090206, -3.024129, 3.041087, -5.770599, 8.924306, 3.086235, -0.847145, -7.166118, -4.806529, -0.393246, 3.258135, 5.328014, -3.420560, 2.225583, -6.496872, 7.831299, 
23, -5.169435, -1.938454, 2.628605, 0.922440, -0.641480, 2.182481, -2.615469, 3.162241, -2.811173, -3.623691, 5.598465, 1.608988, -4.394648, -1.890236, 2.586030, -5.069784, 5.829687, -4.269447, 2.017849, -7.240895, 4.819864, 3.005042, -5.910302, 0.189083, -0.081338, -9.508031, 1.482005, 2.883062, 2.470933, -2.324739, 3.444912, -5.284920, 7.682559, -8.267418, -2.267138, 1.925824, -0.927744, 0.121643, 0.083746, -2.321776, -5.851210, -0.565846, -3.904291, -8.874298, 7.013473, -2.142406, 5.954258, 0.378762, 2.878383, -2.116513, -5.386693, 0.756578, -4.052267, 1.836727, -7.629454, 4.794369, 4.267502, 0.865478, 10.051451, -6.094431, -3.890913, 0.995622, 3.508671, 3.315065, -0.420359, -0.870241, -2.374200, -2.003060, -2.671200, -4.163836, 3.127572, -0.360447, -1.470381, 3.826704, 0.924080, 0.696436, 0.693463, 4.298699, -0.015475, -6.069087, -5.386168, -3.117337, -2.783112, -3.419939, 7.230302, -3.044258, 3.080879, -5.983538, 9.113989, 3.217032, -0.972630, -7.332321, -5.025239, -0.241605, 3.468247, 5.405667, -3.401397, 2.391648, -6.572793, 7.979354, 
24, -5.359712, -2.082596, 2.701373, 1.046786, -0.852488, 2.312504, -2.811966, 3.264564, -2.754499, -3.595799, 5.665227, 1.576901, -4.465067, -1.990566, 2.528399, -5.290677, 5.875043, -4.352217, 1.955333, -7.346960, 4.959726, 3.005184, -6.077027, 0.200658, -0.043899, -9.719088, 1.573163, 3.127841, 2.375518, -2.266521, 3.532559, -5.433967, 7.928249, -8.436056, -2.282192, 1.911528, -0.777458, 0.230388, 0.206479, -2.532593, -5.998368, -0.776912, -3.964898, -9.071678, 7.246955, -2.080122, 6.159082, 0.428529, 2.990222, -2.132404, -5.547648, 0.876685, -4.087984, 1.912369, -7.857889, 4.818287, 4.358073, 0.909979, 10.276074, -6.194334, -4.059884, 0.823972, 3.533320, 3.453660, -0.270949, -0.826408, -2.298070, -2.011922, -2.829463, -4.301678, 3.178217, -0.593160, -1.711685, 3.964416, 1.107106, 0.881630, 0.822393, 4.496404, 0.164371, -6.256900, -5.404881, -3.160259, -2.960225, -3.380137, 7.370397, -3.064387, 3.120670, -6.196477, 9.303671, 3.347829, -1.098114, -7.498524, -5.243949, -0.089964, 3.678358, 5.483319, -3.382233, 2.557713, -6.648715, 8.127409, 
25, -5.549990, -2.226739, 2.774140, 1.171131, -1.063496, 2.442527, -3.008462, 3.366888, -2.697824, -3.567907, 5.731989, 1.544814, -4.535486, -2.090895, 2.470769, -5.511570, 5.920399, -4.434986, 1.892816, -7.453024, 5.099588, 3.005326, -6.243751, 0.212232, -0.006460, -9.930145, 1.664320, 3.372621, 2.280102, -2.208303, 3.620206, -5.583015, 8.173940, -8.604694, -2.297245, 1.897233, -0.627173, 0.339133, 0.329212, -2.743409, -6.145526, -0.987977, -4.025505, -9.269058, 7.480436, -2.017838, 6.363906, 0.478296, 3.102062, -2.148296, -5.708603, 0.996791, -4.123701, 1.988011, -8.086325, 4.842206, 4.448645, 0.954481, 10.500697, -6.294237, -4.228855, 0.652321, 3.557970, 3.592255, -0.121539, -0.782576, -2.221939, -2.020785, -2.987726, -4.439520, 3.228862, -0.825873, -1.952989, 4.102129, 1.290132, 1.066824, 0.951323, 4.694109, 0.344217, -6.444712, -5.423593, -3.203180, -3.137338, -3.340336, 7.510493, -3.084516, 3.160462, -6.409416, 9.493354, 3.478625, -1.223599, -7.664727, -5.462659, 0.061676, 3.888470, 5.560972, -3.363070, 2.723778, -6.724636, 8.275464, 
26, -5.740268, -2.370881, 2.846908, 1.295476, -1.274504, 2.572550, -3.204959, 3.469212, -2.641150, -3.540014, 5.798751, 1.512727, -4.605905, -2.191224, 2.413138, -5.732463, 5.965755, -4.517755, 1.830299, -7.559089, 5.239451, 3.005467, -6.410476, 0.223807, 0.030978, -10.141201, 1.755477, 3.617401, 2.184687, -2.150085, 3.707853, -5.732063, 8.419630, -8.773332, -2.312299, 1.882938, -0.476887, 0.447879, 0.451945, -2.954226, -6.292684, -1.199043, -4.086112, -9.466438, 7.713917, -1.955554, 6.568730, 0.528063, 3.213902, -2.164187, -5.869558, 1.116897, -4.159418, 2.063654, -8.314761, 4.866124, 4.539217, 0.998982, 10.725321, -6.394140, -4.397826, 0.480670, 3.582620, 3.730850, 0.027870, -0.738743, -2.145809, -2.029648, -3.145989, -4.577361, 3.279507, -1.058585, -2.194293, 4.239842, 1.473158, 1.252018, 1.080253, 4.891813, 0.524064, -6.632525, -5.442305, -3.246102, -3.314452, -3.300535, 7.650588, -3.104646, 3.200253, -6.622355, 9.683036, 3.609422, -1.349083, -7.830930, -5.681370, 0.213317, 4.098581, 5.638624, -3.343906, 2.889843, -6.800557, 8.423519, 
27, -5.930546, -2.515023, 2.919675, 1.419821, -1.485512, 2.702573, -3.401456, 3.571535, -2.584476, -3.512122, 5.865513, 1.480640, -4.676325, -2.291554, 2.355507, -5.953356, 6.011111, -4.600524, 1.767783, -7.665154, 5.379313, 3.005609, -6.577201, 0.235381, 0.068417, -10.352258, 1.846635, 3.862181, 2.089271, -2.091866, 3.795500, -5.881110, 8.665321, -8.941970, -2.327352, 1.868643, -0.326602, 0.556624, 0.574678, -3.165042, -6.439843, -1.410109, -4.146719, -9.663818, 7.947399, -1.893271, 6.773554, 0.577830, 3.325741, -2.180078, -6.030512, 1.237003, -4.195135, 2.139296, -8.543197, 4.890043, 4.629789, 1.043483, 10.949944, -6.494043, -4.566797, 0.309019, 3.607270, 3.869445, 0.177280, -0.694911, -2.069678, -2.038510, -3.304252, -4.715203, 3.330152, -1.291298, -2.435597, 4.377554, 1.656183, 1.437211, 1.209183, 5.089518, 0.703910, -6.820337, -5.461017, -3.289023, -3.491565, -3.260735, 7.790683, -3.124775, 3.240045, -6.835294, 9.872719, 3.740219, -1.474568, -7.997133, -5.900080, 0.364958, 4.308693, 5.716277, -3.324742, 3.055908, -6.876478, 8.571574, 
28, -6.120824, -2.659165, 2.992443, 1.544166, -1.696519, 2.832596, -3.597953, 3.673859, -2.527801, -3.484230, 5.932275, 1.448553, -4.746744, -2.391883, 2.297876, -6.174249, 6.056467, -4.683294, 1.705266, -7.771218, 5.519175, 3.005751, -6.743926, 0.246956, 0.105856, -10.563315, 1.937792, 4.106961, 1.993856, -2.033648, 3.883148, -6.030158, 8.911011, -9.110609, -2.342406, 1.854347, -0.176316, 0.665370, 0.697411, -3.375859, -6.587001, -1.621174, -4.207325, -9.861199, 8.180880, -1.830987, 6.978378, 0.627597, 3.437581, -2.195969, -6.191467, 1.357110, -4.230852, 2.214938, -8.771633, 4.913961, 4.720361, 1.087985, 11.174567, -6.593945, -4.735768, 0.137368, 3.631920, 4.008039, 0.326690, -0.651078, -1.993548, -2.047373, -3.462515, -4.853045, 3.380797, -1.524011, -2.676902, 4.515267, 1.839209, 1.622405, 1.338113, 5.287223, 0.883757, -7.008149, -5.479729, -3.331945, -3.668678, -3.220934, 7.930779, -3.144904, 3.279836, -7.048233, 10.062401, 3.871016, -1.600052, -8.163336, -6.118790, 0.516599, 4.518804, 5.793929, -3.305579, 3.221973, -6.952399, 8.719630, 
29, -6.311102, -2.803307, 3.065210, 1.668511, -1.907527, 2.962619, -3.794450, 3.776182, -2.471127, -3.456337, 5.999037, 1.416466, -4.817163, -2.492212, 2.240246, -6.395143, 6.101823, -4.766063, 1.642749, -7.877283, 5.659037, 3.005892, -6.910651, 0.258530, 0.143295, -10.774371, 2.028949, 4.351740, 1.898440, -1.975430, 3.970795, -6.179206, 9.156702, -9.279247, -2.357459, 1.840052, -0.026030, 0.774115, 0.820143, -3.586675, -6.734159, -1.832240, -4.267932, -10.058579, 8.414361, -1.768703, 7.183202, 0.677365, 3.549420, -2.211860, -6.352422, 1.477216, -4.266569, 2.290581, -9.000068, 4.937880, 4.810933, 1.132486, 11.399190, -6.693848, -4.904739, -0.034282, 3.656570, 4.146634, 0.476100, -0.607245, -1.917418, -2.056236, -3.620778, -4.990886, 3.431442, -1.756724, -2.918206, 4.652980, 2.022235, 1.807599, 1.467043, 5.484927, 1.063603, -7.195962, -5.498441, -3.374866, -3.845791, -3.181133, 8.070874, -3.165034, 3.319628, -7.261172, 10.252083, 4.001813, -1.725537, -8.329539, -6.337500, 0.668240, 4.728916, 5.871582, -3.286415, 3.388038, -7.028320, 8.867685, 
30, -6.501380, -2.947449, 3.137978, 1.792856, -2.118535, 3.092642, -3.990947, 3.878506, -2.414453, -3.428445, 6.065799, 1.384379, -4.887583, -2.592542, 2.182615, -6.616036, 6.147179, -4.848832, 1.580233, -7.983347, 5.798899, 3.006034, -7.077376, 0.270105, 0.180734, -10.985428, 2.120107, 4.596520, 1.803025, -1.917212, 4.058442, -6.328253, 9.402392, -9.447885, -2.372513, 1.825757, 0.124255, 0.882860, 0.942876, -3.797492, -6.881317, -2.043305, -4.328539, -10.255959, 8.647843, -1.706420, 7.388026, 0.727132, 3.661260, -2.227751, -6.513377, 1.597322, -4.302286, 2.366223, -9.228504, 4.961799, 4.901505, 1.176987, 11.623813, -6.793751, -5.073710, -0.205933, 3.681220, 4.285229, 0.625509, -0.563413, -1.841287, -2.065098, -3.779041, -5.128728, 3.482087, -1.989437, -3.159510, 4.790692, 2.205261, 1.992792, 1.595973, 5.682632, 1.243450, -7.383774, -5.517153, -3.417788, -4.022905, -3.141332, 8.210969, -3.185163, 3.359419, -7.474111, 10.441766, 4.132609, -1.851021, -8.495742, -6.556210, 0.819881, 4.939027, 5.949234, -3.267251, 3.554103, -7.104241, 9.015740, 
31, -6.691658, -3.091591, 3.210745, 1.917201, -2.329543, 3.222665, -4.187444, 3.980829, -2.357779, -3.400553, 6.132560, 1.352292, -4.958002, -2.692871, 2.124984, -6.836929, 6.192535, -4.931601, 1.517716, -8.089412, 5.938761, 3.006176, -7.244101, 0.281679, 0.218173, -11.196485, 2.211264, 4.841300, 1.707610, -1.858994, 4.146089, -6.477301, 9.648083, -9.616523, -2.387566, 1.811461, 0.274541, 0.991606, 1.065609, -4.008308, -7.028475, -2.254371, -4.389146, -10.453339, 8.881324, -1.644136, 7.592850, 0.776899, 3.773099, -2.243642, -6.674332, 1.717429, -4.338002, 2.441865, -9.456940, 4.985717, 4.992077, 1.221489, 11.848436, -6.893654, -5.242681, -0.377584, 3.705870, 4.423824, 0.774919, -0.519580, -1.765157, -2.073961, -3.937304, -5.266570, 3.532732, -2.222150, -3.400814, 4.928405, 2.388287, 2.177986, 1.724902, 5.880337, 1.423296, -7.571587, -5.535865, -3.460709, -4.200018, -3.101531, 8.351065, -3.205292, 3.399211, -7.687050, 10.631448, 4.263406, -1.976506, -8.661945, -6.774920, 0.971522, 5.149139, 6.026887, -3.248088, 3.720168, -7.180162, 9.163795, 
32, -6.881935, -3.235733, 3.283512, 2.041546, -2.540551, 3.352688, -4.383940, 4.083153, -2.301104, -3.372661, 6.199322, 1.320205, -5.028421, -2.793200, 2.067353, -7.057822, 6.237891, -5.014371, 1.455199, -8.195477, 6.078623, 3.006317, -7.410825, 0.293254, 0.255611, -11.407541, 2.302421, 5.086080, 1.612194, -1.800775, 4.233736, -6.626349, 9.893773, -9.785161, -2.402620, 1.797166, 0.424826, 1.100351, 1.188342, -4.219125, -7.175634, -2.465437, -4.449753, -10.650719, 9.114805, -1.581852, 7.797674, 0.826666, 3.884939, -2.259533, -6.835286, 1.837535, -4.373719, 2.517508, -9.685376, 5.009636, 5.082648, 1.265990, 12.073059, -6.993557, -5.411652, -0.549235, 3.730520, 4.562419, 0.924329, -0.475748, -1.689026, -2.082824, -4.095567, -5.404411, 3.583377, -2.454863, -3.642118, 5.066118, 2.571313, 2.363180, 1.853832, 6.078041, 1.603143, -7.759399, -5.554577, -3.503630, -4.377131, -3.061730, 8.491160, -3.225421, 3.439002, -7.899989, 10.821131, 4.394203, -2.101991, -8.828147, -6.993630, 1.123162, 5.359250, 6.104539, -3.228924, 3.886233, -7.256083, 9.311850, 
33, -7.072213, -3.379876, 3.356280, 2.165891, -2.751558, 3.482711, -4.580437, 4.185476, -2.244430, -3.344768, 6.266084, 1.288118, -5.098840, -2.893530, 2.009723, -7.278715, 6.283247, -5.097140, 1.392683, -8.301541, 6.218485, 3.006459, -7.577550, 0.304829, 0.293050, -11.618598, 2.393579, 5.330860, 1.516779, -1.742557, 4.321383, -6.775396, 10.139464, -9.953800, -2.417673, 1.782871, 0.575112, 1.209097, 1.311075, -4.429941, -7.322792, -2.676502, -4.510360, -10.848099, 9.348287, -1.519568, 8.002498, 0.876433, 3.996778, -2.275424, -6.996241, 1.957641, -4.409436, 2.593150, -9.913811, 5.033554, 5.173220, 1.310492, 12.297682, -7.093459, -5.580623, -0.720886, 3.755169, 4.701013, 1.073739, -0.431915, -1.612896, -2.091687, -4.253830, -5.542253, 3.634022, -2.687575, -3.883422, 5.203830, 2.754339, 2.548374, 1.982762, 6.275746, 1.782989, -7.947211, -5.573290, -3.546552, -4.554244, -3.021929, 8.631256, -3.245551, 3.478794, -8.112928, 11.010813, 4.525000, -2.227475, -8.994350, -7.212340, 1.274803, 5.569362, 6.182192, -3.209760, 4.052298, -7.332004, 9.459905, 
34, -7.262491, -3.524018, 3.429047, 2.290237, -2.962566, 3.612734, -4.776934, 4.287800, -2.187756, -3.316876, 6.332846, 1.256031, -5.169260, -2.993859, 1.952092, -7.499608, 6.328603, -5.179909, 1.330166, -8.407606, 6.358347, 3.006601, -7.744275, 0.316403, 0.330489, -11.829654, 2.484736, 5.575640, 1.421363, -1.684339, 4.409030, -6.924444, 10.385154, -10.122438, -2.432727, 1.768575, 0.725398, 1.317842, 1.433808, -4.640758, -7.469950, -2.887568, -4.570967, -11.045480, 9.581768, -1.457285, 8.207322, 0.926200, 4.108618, -2.291315, -7.157196, 2.077747, -4.445153, 2.668792, -10.142247, 5.057473, 5.263792, 1.354993, 12.522305, -7.193362, -5.749594, -0.892536, 3.779819, 4.839608, 1.223149, -0.388083, -1.536766, -2.100549, -4.412092, -5.680094, 3.684668, -2.920288, -4.124726, 5.341543, 2.937365, 2.733567, 2.111692, 6.473451, 1.962836, -8.135024, -5.592002, -3.589473, -4.731358, -2.982128, 8.771351, -3.265680, 3.518585, -8.325867, 11.200495, 4.655796, -2.352960, -9.160553, -7.431050, 1.426444, 5.779473, 6.259844, -3.190597, 4.218363, -7.407925, 9.607960, 
35, -7.452769, -3.668160, 3.501815, 2.414582, -3.173574, 3.742757, -4.973431, 4.390123, -2.131082, -3.288984, 6.399608, 1.223944, -5.239679, -3.094188, 1.894461, -7.720501, 6.373959, -5.262678, 1.267650, -8.513670, 6.498209, 3.006742, -7.911000, 0.327978, 0.367928, -12.040711, 2.575893, 5.820419, 1.325948, -1.626121, 4.496678, -7.073492, 10.630845, -10.291076, -2.447780, 1.754280, 0.875683, 1.426587, 1.556541, -4.851574, -7.617108, -3.098633, -4.631573, -11.242860, 9.815249, -1.395001, 8.412145, 0.975967, 4.220457, -2.307206, -7.318151, 2.197853, -4.480870, 2.744435, -10.370683, 5.081391, 5.354364, 1.399494, 12.746928, -7.293265, -5.918565, -1.064187, 3.804469, 4.978203, 1.372558, -0.344250, -1.460635, -2.109412, -4.570355, -5.817936, 3.735313, -3.153001, -4.366030, 5.479255, 3.120390, 2.918761, 2.240622, 6.671155, 2.142682, -8.322836, -5.610714, -3.632395, -4.908471, -2.942327, 8.911446, -3.285809, 3.558377, -8.538806, 11.390178, 4.786593, -2.478444, -9.326756, -7.649760, 1.578085, 5.989585, 6.337497, -3.171433, 4.384428, -7.483846, 9.756015, 
36, -7.643047, -3.812302, 3.574582, 2.538927, -3.384582, 3.872780, -5.169928, 4.492447, -2.074408, -3.261091, 6.466370, 1.191857, -5.310098, -3.194518, 1.836830, -7.941395, 6.419315, -5.345448, 1.205133, -8.619735, 6.638072, 3.006884, -8.077725, 0.339552, 0.405367, -12.251768, 2.667051, 6.065199, 1.230532, -1.567902, 4.584325, -7.222539, 10.876535, -10.459714, -2.462834, 1.739985, 1.025969, 1.535333, 1.679274, -5.062391, -7.764266, -3.309699, -4.692180, -11.440240, 10.048731, -1.332717, 8.616969, 1.025735, 4.332296, -2.323097, -7.479106, 2.317960, -4.516587, 2.820077, -10.599119, 5.105310, 5.444936, 1.443996, 12.971551, -7.393168, -6.087536, -1.235838, 3.829119, 5.116798, 1.521968, -0.300417, -1.384505, -2.118275, -4.728618, -5.955778, 3.785958, -3.385714, -4.607334, 5.616968, 3.303416, 3.103955, 2.369552, 6.868860, 2.322528, -8.510649, -5.629426, -3.675316, -5.085584, -2.902526, 9.051542, -3.305938, 3.598168, -8.751745, 11.579860, 4.917390, -2.603929, -9.492959, -7.868470, 1.729726, 6.199696, 6.415149, -3.152269, 4.550493, -7.559767, 9.904070, 
37, -7.833325, -3.956444, 3.647349, 2.663272, -3.595590, 4.002803, -5.366424, 4.594770, -2.017733, -3.233199, 6.533132, 1.159770, -5.380517, -3.294847, 1.779199, -8.162288, 6.464671, -5.428217, 1.142616, -8.725800, 6.777934, 3.007026, -8.244449, 0.351127, 0.442806, -12.462824, 2.758208, 6.309979, 1.135117, -1.509684, 4.671972, -7.371587, 11.122226, -10.628352, -2.477887, 1.725690, 1.176254, 1.644078, 1.802007, -5.273207, -7.911425, -3.520765, -4.752787, -11.637620, 10.282212, -1.270433, 8.821793, 1.075502, 4.444136, -2.338988, -7.640060, 2.438066, -4.552304, 2.895719, -10.827555, 5.129228, 5.535508, 1.488497, 13.196174, -7.493071, -6.256507, -1.407489, 3.853769, 5.255393, 1.671378, -0.256585, -1.308374, -2.127137, -4.886881, -6.093619, 3.836603, -3.618427, -4.848638, 5.754681, 3.486442, 3.289148, 2.498482, 7.066565, 2.502375, -8.698461, -5.648138, -3.718238, -5.262698, -2.862725, 9.191637, -3.326068, 3.637959, -8.964684, 11.769543, 5.048187, -2.729413, -9.659162, -8.087181, 1.881367, 6.409808, 6.492802, -3.133106, 4.716558, -7.635688, 10.052126, 
38, -8.023602, -4.100586, 3.720117, 2.787617, -3.806598, 4.132826, -5.562921, 4.697094, -1.961059, -3.205307, 6.599894, 1.127683, -5.450937, -3.395176, 1.721569, -8.383181, 6.510027, -5.510986, 1.080100, -8.831864, 6.917796, 3.007167, -8.411174, 0.362701, 0.480244, -12.673881, 2.849365, 6.554759, 1.039701, -1.451466, 4.759619, -7.520634, 11.367916, -10.796991, -2.492941, 1.711394, 1.326540, 1.752824, 1.924740, -5.484024, -8.058583, -3.731830, -4.813394, -11.835000, 10.515693, -1.208150, 9.026617, 1.125269, 4.555975, -2.354879, -7.801015, 2.558172, -4.588021, 2.971362, -11.055990, 5.153147, 5.626080, 1.532998, 13.420797, -7.592973, -6.425478, -1.579139, 3.878419, 5.393987, 1.820788, -0.212752, -1.232244, -2.136000, -5.045144, -6.231461, 3.887248, -3.851140, -5.089942, 5.892393, 3.669468, 3.474342, 2.627412, 7.264269, 2.682221, -8.886273, -5.666850, -3.761159, -5.439811, -2.822924, 9.331732, -3.346197, 3.677751, -9.177623, 11.959225, 5.178983, -2.854898, -9.825365, -8.305891, 2.033007, 6.619919, 6.570454, -3.113942, 4.882623, -7.711609, 10.200181, 
39, -8.213880, -4.244728, 3.792884, 2.911962, -4.017605, 4.262849, -5.759418, 4.799417, -1.904385, -3.177414, 6.666656, 1.095596, -5.521356, -3.495506, 1.663938, -8.604074, 6.555383, -5.593755, 1.017583, -8.937929, 7.057658, 3.007309, -8.577899, 0.374276, 0.517683, -12.884938, 2.940523, 6.799539, 0.944286, -1.393248, 4.847266, -7.669682, 11.613607, -10.965629, -2.507994, 1.697099, 1.476825, 1.861569, 2.047473, -5.694840, -8.205741, -3.942896, -4.874001, -12.032380, 10.749175, -1.145866, 9.231441, 1.175036, 4.667815, -2.370770, -7.961970, 2.678278, -4.623738, 3.047004, -11.284426, 5.177066, 5.716652, 1.577500, 13.645420, -7.692876, -6.594449, -1.750790, 3.903068, 5.532582, 1.970197, -0.168920, -1.156114, -2.144863, -5.203407, -6.369302, 3.937893, -4.083853, -5.331246, 6.030106, 3.852494, 3.659536, 2.756342, 7.461974, 2.862068, -9.074086, -5.685562, -3.804080, -5.616924, -2.783124, 9.471828, -3.366326, 3.717542, -9.390562, 12.148907, 5.309780, -2.980382, -9.991568, -8.524601, 2.184648, 6.830031, 6.648106, -3.094778, 5.048688, -7.787530, 10.348236, 
40, -8.404158, -4.388870, 3.865651, 3.036308, -4.228613, 4.392872, -5.955915, 4.901741, -1.847711, -3.149522, 6.733417, 1.063509, -5.591775, -3.595835, 1.606307, -8.824967, 6.600740, -5.676525, 0.955067, -9.043993, 7.197520, 3.007451, -8.744624, 0.385851, 0.555122, -13.095994, 3.031680, 7.044319, 0.848870, -1.335029, 4.934913, -7.818730, 11.859297, -11.134267, -2.523048, 1.682804, 1.627111, 1.970314, 2.170205, -5.905657, -8.352899, -4.153961, -4.934608, -12.229761, 10.982656, -1.083582, 9.436265, 1.224803, 4.779654, -2.386661, -8.122925, 2.798384, -4.659455, 3.122646, -11.512862, 5.200984, 5.807224, 1.622001, 13.870044, -7.792779, -6.763420, -1.922441, 3.927718, 5.671177, 2.119607, -0.125087, -1.079983, -2.153726, -5.361670, -6.507144, 3.988538, -4.316565, -5.572550, 6.167818, 4.035520, 3.844729, 2.885272, 7.659678, 3.041914, -9.261898, -5.704274, -3.847002, -5.794037, -2.743323, 9.611923, -3.386455, 3.757334, -9.603501, 12.338590, 5.440577, -3.105867, -10.157771, -8.743311, 2.336289, 7.040142, 6.725759, -3.075615, 5.214753, -7.863451, 10.496291, 
41, -8.594436, -4.533012, 3.938419, 3.160653, -4.439621, 4.522895, -6.152412, 5.004064, -1.791036, -3.121630, 6.800179, 1.031422, -5.662194, -3.696164, 1.548676, -9.045860, 6.646096, -5.759294, 0.892550, -9.150058, 7.337382, 3.007592, -8.911349, 0.397425, 0.592561, -13.307051, 3.122837, 7.289098, 0.753455, -1.276811, 5.022560, -7.967777, 12.104988, -11.302905, -2.538101, 1.668509, 1.777397, 2.079060, 2.292938, -6.116473, -8.500057, -4.365027, -4.995214, -12.427141, 11.216137, -1.021299, 9.641089, 1.274570, 4.891493, -2.402552, -8.283880, 2.918490, -4.695172, 3.198289, -11.741298, 5.224903, 5.897795, 1.666502, 14.094667, -7.892682, -6.932391, -2.094092, 3.952368, 5.809772, 2.269017, -0.081255, -1.003853, -2.162588, -5.519933, -6.644985, 4.039183, -4.549278, -5.813855, 6.305531, 4.218546, 4.029923, 3.014202, 7.857383, 3.221761, -9.449710, -5.722986, -3.889923, -5.971151, -2.703522, 9.752018, -3.406585, 3.797125, -9.816440, 12.528272, 5.571374, -3.231351, -10.323974, -8.962021, 2.487930, 7.250254, 6.803411, -3.056451, 5.380818, -7.939372, 10.644346, 
42, -8.784714, -4.677154, 4.011186, 3.284998, -4.650629, 4.652918, -6.348908, 5.106388, -1.734362, -3.093737, 6.866941, 0.999335, -5.732613, -3.796494, 1.491046, -9.266754, 6.691452, -5.842063, 0.830033, -9.256122, 7.477244, 3.007734, -9.078073, 0.409000, 0.630000, -13.518108, 3.213995, 7.533878, 0.658040, -1.218593, 5.110208, -8.116825, 12.350678, -11.471543, -2.553155, 1.654213, 1.927682, 2.187805, 2.415671, -6.327290, -8.647216, -4.576093, -5.055821, -12.624521, 11.449618, -0.959015, 9.845913, 1.324338, 5.003333, -2.418443, -8.444835, 3.038596, -4.730889, 3.273931, -11.969733, 5.248821, 5.988367, 1.711004, 14.319290, -7.992585, -7.101363, -2.265743, 3.977018, 5.948367, 2.418427, -0.037422, -0.927722, -2.171451, -5.678196, -6.782827, 4.089828, -4.781991, -6.055159, 6.443244, 4.401572, 4.215116, 3.143132, 8.055087, 3.401607, -9.637523, -5.741698, -3.932844, -6.148264, -2.663721, 9.892114, -3.426714, 3.836917, -10.029378, 12.717955, 5.702171, -3.356836, -10.490176, -9.180731, 2.639571, 7.460365, 6.881064, -3.037287, 5.546883, -8.015294, 10.792401, 
